port,top_slack,tile_slack,slack_delta,driver_slack,receiver_slack,delay_split,available_time,driver_delay,receiver_delay,driver_efo,receiver_efo,efo_delta,route_ratio
p275,32.009167,56.800354,24.79,48.215691,8.584663,0.5236,176.589813,71.688324,65.214417,2.1,2.61,0.51,0.29
p276,44.764473,70.374002,25.61,61.970928,8.403074,0.4875,176.826019,60.100647,63.194885,2.01,2.86,0.85,0.31
p277,42.068333,69.803986,27.74,61.721992,8.081994,0.4807,177.32666,60.760834,65.639221,2.15,2.65,0.5,0.34
p278,45.54887,71.292181,25.74,63.501343,7.790838,0.479,177.521668,59.197418,64.393188,1.87,2.56,0.69,0.33
p279,40.088783,69.070637,28.98,62.090385,6.980252,0.4802,177.499756,60.962341,65.983337,2.27,3.37,1.1,0.32
p280,41.042774,68.199324,27.16,61.624771,6.574553,0.4769,178.06836,61.984497,67.992371,2.16,3.61,1.45,0.32
p281,43.166317,70.389017,27.22,63.724728,6.664289,0.4759,178.148499,59.996185,66.060181,2.04,2.47,0.43,0.34
p282,39.619987,57.548858,17.93,52.032658,5.5162,0.517,178.891937,70.222717,65.592773,2.08,3.89,1.81,0.3
p283,39.63319,60.745832,21.11,49.640621,11.105211,0.5435,179.213684,73.168365,61.453918,2.13,2.58,0.45,0.3
p284,34.169228,58.164844,24,47.706909,10.457935,0.5429,179.252563,75.112976,63.25177,2.2,2.79,0.59,0.3
p285,18.847118,41.246329,22.4,34.431202,6.815127,0.5864,180.26181,89.303345,62.980225,3.75,3.04,0.71,0.28
p286,29.010883,55.820899,26.81,46.649414,9.171485,0.5504,181.826782,80.100372,65.425232,5.17,2.8,2.37,0.28
p287,22.396908,48.675707,26.28,44.810436,3.865271,0.5475,181.138855,81.766418,67.575928,5.62,3.75,1.87,0.28
p288,27.840729,55.617154,27.78,46.340611,9.276543,0.5531,181.08847,79.506073,64.243103,4.89,2.84,2.05,0.29
p289,28.212179,54.804934,26.59,44.41573,10.389204,0.561,180.308929,80.536896,63.01532,5.1,3.03,2.07,0.27
p290,23.948265,45.900593,21.95,36.782192,9.118401,0.5808,179.897278,86.336456,62.312805,3.22,3.89,0.67,0.26
p291,20.047949,44.915663,24.87,34.379234,10.536429,0.5791,186.391632,88.591522,64.400574,3.24,3.28,0.04,0.27
p292,15.663898,38.528299,22.86,31.614374,6.913925,0.569,186.392151,91.318787,69.160828,4.1,3.55,0.55,0.25
p293,35.291977,62.599263,27.31,46.427193,16.17207,0.5468,186.654144,78.38562,64.956421,5.24,2.69,2.55,0.25
p294,29.591469,51.421142,21.83,37.54364,13.877502,0.578,185.430176,86.070862,62.848206,6.59,2.45,4.14,0.27
p295,32.18544,59.463072,27.28,44.907463,14.555609,0.5735,185.392579,78.667511,58.501343,4.93,2.02,2.91,0.3
p296,31.029619,52.315937,21.29,41.600048,10.715889,0.5709,184.943084,81.747223,61.434875,5.27,2.82,2.45,0.29
p297,15.971338,43.942095,27.97,40.436432,3.505663,0.5248,184.749725,82.57428,74.765564,5.4,3.32,2.08,0.3
p298,26.064461,51.670703,25.61,42.853027,8.817676,0.5464,184.138611,79.882874,66.323792,4.78,2.44,2.34,0.28
p299,23.78548,40.63744,16.85,31.620836,9.016604,0.577,183.448609,88.855896,65.146667,3.6,2.96,0.64,0.25
p300,28.609446,42.973757,14.36,32.414623,10.559134,0.591,183.770661,88.252289,61.077393,3.36,2.67,0.69,0.26
p301,25.657787,42.779889,17.12,32.184204,10.595685,0.5924,183.752532,88.452026,60.864685,3.26,2.56,0.7,0.28
p302,18.392731,36.626082,18.23,28.962761,7.663321,0.5893,183.654389,91.561859,63.822205,4.11,2.82,1.29,0.26
p303,31.196693,52.957929,21.76,41.742771,11.215158,0.5734,183.633179,80.670898,60.009216,5.15,2.63,2.52,0.27
p304,25.315701,47.037969,21.72,36.83831,10.199659,0.5694,183.533325,85.540253,64.694275,5.95,2.74,3.21,0.28
