Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input1[57],set_input_delay,-0.013,rise,clk_v0_setuphold,0.361,-0.899,
input1[57],set_input_delay,-0.020,fall,clk_v0_setuphold,0.404,-0.931,
input1[56],set_input_delay,-0.011,rise,clk_v0_setuphold,0.295,-0.896,
input1[56],set_input_delay,-0.022,fall,clk_v0_setuphold,0.372,-0.937,
input1[55],set_input_delay,-0.013,rise,clk_v0_setuphold,0.309,-0.899,
input1[55],set_input_delay,-0.021,fall,clk_v0_setuphold,0.366,-0.930,
input1[54],set_input_delay,-0.013,rise,clk_v0_setuphold,0.296,-0.899,
input1[54],set_input_delay,-0.021,fall,clk_v0_setuphold,0.357,-0.930,
input1[53],set_input_delay,-0.013,rise,clk_v0_setuphold,0.311,-0.899,
input1[53],set_input_delay,-0.020,fall,clk_v0_setuphold,0.369,-0.928,
input1[52],set_input_delay,-0.014,rise,clk_v0_setuphold,0.650,-0.899,
input1[52],set_input_delay,-0.022,fall,clk_v0_setuphold,0.377,-0.930,
input1[51],set_input_delay,-0.014,rise,clk_v0_setuphold,0.647,-0.899,
input1[51],set_input_delay,-0.021,fall,clk_v0_setuphold,0.368,-0.929,
input1[50],set_input_delay,-0.014,rise,clk_v0_setuphold,0.657,-0.899,
input1[50],set_input_delay,-0.021,fall,clk_v0_setuphold,0.393,-0.930,
input1[49],set_input_delay,-0.013,rise,clk_v0_setuphold,0.302,-0.899,
input1[49],set_input_delay,-0.021,fall,clk_v0_setuphold,0.378,-0.929,
input1[48],set_input_delay,-0.013,rise,clk_v0_setuphold,0.306,-0.899,
input1[48],set_input_delay,-0.020,fall,clk_v0_setuphold,0.372,-0.929,
input1[47],set_input_delay,-0.013,rise,clk_v0_setuphold,0.302,-0.899,
input1[47],set_input_delay,-0.021,fall,clk_v0_setuphold,0.362,-0.930,
input1[46],set_input_delay,-0.013,rise,clk_v0_setuphold,0.300,-0.899,
input1[46],set_input_delay,-0.021,fall,clk_v0_setuphold,0.370,-0.930,
input1[45],set_input_delay,-0.013,rise,clk_v0_setuphold,0.306,-0.899,
input1[45],set_input_delay,-0.021,fall,clk_v0_setuphold,0.377,-0.932,
input1[44],set_input_delay,-0.013,rise,clk_v0_setuphold,0.323,-0.899,
input1[44],set_input_delay,-0.021,fall,clk_v0_setuphold,0.391,-0.932,
input1[43],set_input_delay,-0.013,rise,clk_v0_setuphold,0.296,-0.899,
input1[43],set_input_delay,-0.021,fall,clk_v0_setuphold,0.361,-0.932,
input1[42],set_input_delay,-0.012,rise,clk_v0_setuphold,0.311,-0.899,
input1[42],set_input_delay,-0.022,fall,clk_v0_setuphold,0.379,-0.935,
input1[41],set_input_delay,-0.013,rise,clk_v0_setuphold,0.307,-0.899,
input1[41],set_input_delay,-0.020,fall,clk_v0_setuphold,0.374,-0.930,
input1[40],set_input_delay,-0.013,rise,clk_v0_setuphold,0.279,-0.899,
input1[40],set_input_delay,-0.021,fall,clk_v0_setuphold,0.346,-0.929,
input1[39],set_input_delay,-0.013,rise,clk_v0_setuphold,0.304,-0.899,
input1[39],set_input_delay,-0.020,fall,clk_v0_setuphold,0.375,-0.930,
input1[38],set_input_delay,-0.013,rise,clk_v0_setuphold,0.299,-0.899,
input1[38],set_input_delay,-0.020,fall,clk_v0_setuphold,0.366,-0.928,
input1[37],set_input_delay,-0.013,rise,clk_v0_setuphold,0.323,-0.899,
input1[37],set_input_delay,-0.021,fall,clk_v0_setuphold,0.377,-0.929,
input1[36],set_input_delay,-0.013,rise,clk_v0_setuphold,0.310,-0.899,
input1[36],set_input_delay,-0.021,fall,clk_v0_setuphold,0.377,-0.932,
input1[35],set_input_delay,-0.013,rise,clk_v0_setuphold,0.333,-0.899,
input1[35],set_input_delay,-0.022,fall,clk_v0_setuphold,0.374,-0.931,
input1[34],set_input_delay,-0.013,rise,clk_v0_setuphold,0.297,-0.899,
input1[34],set_input_delay,-0.022,fall,clk_v0_setuphold,0.368,-0.934,
input1[33],set_input_delay,-0.012,rise,clk_v0_setuphold,0.300,-0.898,
input1[33],set_input_delay,-0.022,fall,clk_v0_setuphold,0.369,-0.935,
input1[32],set_input_delay,-0.013,rise,clk_v0_setuphold,0.303,-0.899,
input1[32],set_input_delay,-0.020,fall,clk_v0_setuphold,0.366,-0.929,
input1[31],set_input_delay,-0.013,rise,clk_v0_setuphold,0.294,-0.899,
input1[31],set_input_delay,-0.020,fall,clk_v0_setuphold,0.357,-0.928,
input1[30],set_input_delay,-0.014,rise,clk_v0_setuphold,0.367,-0.899,
